TXN_ID,TXN_DT,ACCT_NO,TXN_AMT,ACCT_BAL,TENURE,ACCT_TYPE,ATM_IND,TXN_ST,ONLINE_IND,NOLNK_ACCT,FRD_IND
123A112,9/9/11,xxxx8350,84.6,1057.46,4.1,REG,0,NV,0,0,0
123A485,9/9/11,xxxx8379,59.75,1194.94,5.6,PRM,1,OH,0,0,0
123A417,9/9/11,xxxx8402,179.08,3581.58,5.6,PRM,0,OH,0,0,0
123A377,9/9/11,xxxx8406,199.01,3980.22,5.6,PRM,0,OH,0,0,0
123A661,9/9/11,xxxx8409,218.14,4362.75,5.6,REG,0,OH,0,0,0
123A597,9/9/11,xxxx8416,254.52,5090.46,5.6,PRM,1,OH,0,0,0
123A431,9/9/11,xxxx8423,275.18,5503.63,5.6,PRM,1,OH,0,0,0
123A539,9/9/11,xxxx8425,294.96,5899.26,5.6,REG,1,OH,0,0,0
123A673,9/9/11,xxxx8428,299.55,5991.01,2.5,REG,1,NV,0,0,0
123A183,9/9/11,xxxx8431,316.49,6329.73,5.6,PRM,1,OH,0,0,0
123A313,9/9/11,xxxx8437,321.14,6422.78,5.6,REG,1,OH,0,0,0
123A457,9/9/11,xxxx8441,342.68,6853.69,5.6,PRM,1,OH,0,0,0
123A277,9/9/11,xxxx8453,403.42,8068.42,5.6,PRM,0,OH,0,0,0
123A575,9/9/11,xxxx8460,453.34,9066.89,5.6,REG,0,OH,0,0,0
123A179,9/9/11,xxxx8468,487.82,9756.46,2.8,REG,1,OH,0,0,0
123A115,9/9/11,xxxx8474,498.57,9971.47,5.6,PRM,0,NV,0,0,0
123A655,9/9/11,xxxx8479,523.64,10472.71,5.6,PRM,1,OH,0,0,0
123A349,9/9/11,xxxx8484,546.26,10925.19,0.3,PRM,1,NV,0,0,0
123A219,9/9/11,xxxx8488,563.55,11271,4.5,PRM,1,NV,0,0,0
123A341,9/9/11,xxxx8497,586.51,11730.16,5.1,PRM,1,OH,0,0,0
123A378,9/9/11,xxxx7894,3.29,41.12,0.3,REG,1,NV,0,0,1
123A423,9/9/11,xxxx7897,3.74,46.77,5.6,REG,1,NV,0,0,1
123A433,9/9/11,xxxx7898,3.88,48.45,0.3,REG,1,NV,0,0,1
123A432,9/9/11,xxxx7899,3.97,49.66,5.6,REG,1,OH,0,0,1
123A323,9/9/11,xxxx7917,4.09,100.1,5.6,REG,1,NV,0,0,1
123A548,9/9/11,xxxx7919,3.98,100.1,5.6,REG,1,NV,0,0,1
123A160,9/9/11,xxxx7922,5.02,100.42,0.2,REG,0,NV,0,0,1
123A228,9/9/11,xxxx7932,6.14,122.74,0.1,REG,0,NV,1,0,1
123A209,9/9/11,xxxx7953,12.74,159.26,0.3,REG,0,NV,1,0,1
123A638,9/9/11,xxxx7980,100,209.97,0.2,REG,0,NV,1,0,1
123A351,9/9/11,xxxx7981,17.11,213.9,0.1,REG,0,NV,0,0,1
